Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
780,0.6474562606015187,79.625,0.6447402641845928,81.5
790,0.6449007976047466,79.625,0.6420132190043039,81.0
800,0.6422319758470781,79.75,0.6391665327084273,80.5
810,0.6394478128170892,79.625,0.6361984498526481,80.5
820,0.6365466523291018,79.625,0.6331074722331016,80.5
830,0.6335273852897282,79.75,0.6298927604284699,80.5
840,0.6303891070749085,79.75,0.6265537204809563,80.5
850,0.6271314140345693,79.75,0.6230901285525785,81.0
860,0.6237540661393887,79.875,0.6195022868062167,81.0
870,0.6202574056709977,80.0,0.6157908707942523,81.0
880,0.6166424875180752,80.0,0.6119575824854561,81.0
890,0.6129104751648117,80.0,0.6080040829821811,81.0
900,0.6090631182499763,80.125,0.6039329656295723,81.0
910,0.6051027577093846,80.125,0.5997472831490787,81.0
920,0.6010321006552113,80.125,0.5954504074652138,81.0
930,0.5968542579318413,80.25,0.5910462399641514,81.0
940,0.5925729404308582,80.5,0.5865393669039543,81.0
950,0.5881922691636128,80.5,0.5819345718224526,81.0
960,0.583716608082929,80.375,0.577237213249351,81.0
970,0.5791509087226933,80.375,0.5724529033314371,81.5
980,0.5745003684845184,80.375,0.56758801472144,81.5
990,0.5697708555053532,80.5,0.5626496275761765,81.5
1000,0.564968342277151,80.625,0.5576457790433975,82.0
1010,0.5600988033359031,80.625,0.552581930944865,82.0
1020,0.5551692776438858,80.75,0.5474645698681231,82.0
1030,0.5501872577174679,80.75,0.5423030590224885,82.0
1040,0.545160218555783,80.75,0.5371033576614037,82.5
1050,0.540093912115294,81.0,0.5318737544054143,82.5
1060,0.5349956734449939,81.125,0.5266218546301464,82.5
1070,0.5298728515835015,81.125,0.5213549706473176,82.5
1080,0.5247331161964335,81.125,0.5160797859081974,82.5
1090,0.5195836751386291,81.125,0.5108039538071293,82.5
1100,0.5144309178578584,81.375,0.5055349844766519,82.5
1110,0.509281304050502,81.375,0.5002794041676161,82.5
1120,0.504142242743793,81.5,0.49504453121713,82.5
1130,0.499019572933701,81.375,0.48983697393981884,82.5
1140,0.4939200899737387,81.5,0.48466297059030766,82.5
1150,0.4888492882564984,81.75,0.4795280826526181,82.5
1160,0.48381257650923504,81.875,0.47443822146513254,82.5
1170,0.47881616179805325,82.0,0.46939969640959256,82.5
1180,0.47386501702272277,82.0,0.46441699650332036,82.5
1190,0.46896467774751455,82.125,0.4594948824477437,82.5
1200,0.4641200735726838,82.25,0.4546395049652005,82.5
1210,0.45933612446180005,82.375,0.4498543000149177,82.5
1220,0.454616006735621,82.375,0.4451447271852382,82.0
1230,0.44996451847303187,82.375,0.44051290819809563,82.0
1240,0.4453843807072449,82.5,0.43596063718134764,82.0
1250,0.4408791894715221,82.5,0.4314915985766122,82.0
1260,0.4364514767731656,82.625,0.42710637112955996,82.5
1270,0.4321039630695991,82.625,0.4228069322718093,82.5
1280,0.42783872926761446,83.0,0.4185947188338235,83.0
1290,0.423657087860093,83.0,0.4144709794072975,83.0
1300,0.4195593673566119,83.25,0.4104361215380086,83.0
