Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0.6932233717847044,39.25,0.693241353285869,35.0
10,0.6931975580049603,50.5,0.6932382509707246,48.0
20,0.6931723534692615,50.5,0.6932346117945377,48.0
30,0.6931474835611887,50.5,0.6932303114916687,48.0
40,0.693122688444408,50.5,0.6932251453923144,48.0
50,0.6930978840717127,50.5,0.6932190402135392,48.0
60,0.6930730738131752,50.5,0.6932119617523357,48.0
70,0.6930481263887137,50.5,0.6932037969404559,48.0
80,0.6930227613742846,50.5,0.693194496777088,48.0
90,0.6929968277340454,50.5,0.6931838806302563,48.0
100,0.6929700622505669,50.5,0.6931715793619151,48.0
110,0.6929424534678137,50.5,0.6931579063937875,48.0
120,0.692914113383819,50.5,0.6931427684137383,48.0
130,0.6928850062851823,50.5,0.6931261297170771,48.0
140,0.6928551965900506,50.5,0.6931080435354653,48.0
150,0.6928244076287943,50.5,0.6930882261537157,48.0
160,0.6927924009168283,50.5,0.6930666495448184,48.0
170,0.6927592486582416,50.5,0.6930432796244617,48.0
180,0.6927247201384416,50.5,0.693017910480609,48.0
190,0.6926886942060915,50.5,0.692990477288302,48.0
200,0.6926509759914701,50.5,0.6929608786804891,48.0
210,0.6926114202669137,50.5,0.6929289889746987,48.0
220,0.6925697634642465,50.5,0.6928944709287799,48.0
230,0.6925259162058535,50.5,0.6928572104774474,48.0
240,0.6924797028201479,50.5,0.6928171878114188,48.0
250,0.6924309630502736,50.5,0.6927742551752419,48.0
260,0.6923795245983385,50.5,0.6927280748662722,48.0
270,0.692325269043863,50.5,0.6926784892440478,48.0
280,0.6922679018407447,50.5,0.6926252794102788,48.0
290,0.6922071642364052,50.5,0.6925682975708515,48.0
300,0.6921428098915681,50.5,0.6925072588846248,48.0
310,0.6920746232008349,50.5,0.6924418916682228,48.0
320,0.6920023185187273,50.5,0.6923719213603187,48.0
330,0.6919255544283865,50.5,0.6922971372364972,48.0
340,0.6918440149162564,50.5,0.6922171144147561,48.0
350,0.6917573620491223,50.5,0.6921315548896743,48.0
360,0.6916653438767445,50.5,0.6920401484846843,48.0
370,0.6915676205020554,50.5,0.6919424598394195,48.0
380,0.6914637577433473,50.5,0.691838090000366,48.0
390,0.6913533908799034,50.5,0.6917267347535504,48.0
400,0.6912361275800695,50.5,0.6916079455051255,48.0
410,0.6911114351235429,50.5,0.6914811389160437,48.0
420,0.6909787997139688,50.5,0.6913458324349878,48.0
430,0.6908377184208594,50.5,0.6912014908545885,48.0
440,0.6906877018291092,50.5,0.6910475489049083,48.0
450,0.6905280768573704,50.5,0.690883348797366,48.0
460,0.6903582238506059,50.5,0.6907082601888969,48.0
470,0.6901775621608732,50.5,0.6905217167561282,48.0
480,0.6899854519718989,50.5,0.6903230768327054,48.0
490,0.689781084290795,50.5,0.6901114815429037,48.0
500,0.6895636842732068,50.5,0.6898860641305901,48.0
510,0.6893324450487026,50.5,0.6896459511592157,48.0
520,0.6890865355095178,50.5,0.6893902920234612,48.0
530,0.6888249714570622,50.5,0.6891180488526122,48.0
540,0.6885467595359185,51.0,0.6888281971492229,48.5
550,0.6882508805711305,55.50000000000001,0.6885197189783813,52.5
560,0.6879361804063941,62.125,0.6881914371148293,62.5
570,0.6876014682428316,67.25,0.6878420560846034,67.0
580,0.6872454866516827,70.875,0.687470217268425,72.5
590,0.6868669661738781,74.25,0.6870745665134845,76.5
600,0.6864645766954268,75.625,0.6866537245904739,79.0
610,0.6860368407118606,78.25,0.6862062267226698,80.5
620,0.6855821643398926,80.375,0.6857302902044486,83.0
630,0.6850989170653614,81.75,0.6852241895183792,83.5
640,0.6845853844645535,82.5,0.6846861474885796,83.5
650,0.6840397030749031,82.625,0.6841142752234532,83.5
660,0.6834600173578664,82.625,0.6835065789082273,84.0
670,0.6828442969261217,83.25,0.6828609804063794,81.5
680,0.6821905461452232,82.75,0.6821753567264243,82.5
690,0.6814964552989585,82.75,0.6814473523377845,82.5
700,0.6807597325032175,82.75,0.6806745014538993,82.0
710,0.6799779698713114,82.375,0.679854198799125,82.0
720,0.6791486458222047,82.375,0.6789837763576776,83.0
730,0.6782691041482193,81.75,0.6780604734471012,82.0
740,0.6773365549793435,82.0,0.677081396219524,82.5
750,0.6763481481692896,82.125,0.676043531682638,82.0
760,0.675300913952959,82.125,0.6749437404327933,81.5
770,0.6741917319804507,82.25,0.673778759854884,81.5
780,0.6730173816462383,82.5,0.6725452758449185,81.5
790,0.6717745347939963,82.375,0.6712397435014885,82.5
800,0.6704597921432915,82.125,0.6698586480699602,82.0
810,0.6690696995655346,82.5,0.6683984271723165,82.0
