Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0.6931880113912957,50.949999999999996,0.6932002021562211,47.599999999999994
10,0.6931600469352152,50.6,0.6932060647010481,47.599999999999994
20,0.6931327124814987,50.6,0.693210895763205,47.599999999999994
30,0.6931058454285846,50.6,0.6932146520159911,47.599999999999994
40,0.6930792714866036,50.6,0.6932172264794587,47.599999999999994
50,0.6930529336792688,50.6,0.6932185711928016,47.599999999999994
60,0.6930267696225892,50.6,0.6932186895540503,47.599999999999994
70,0.6930006823565443,50.6,0.6932175175805574,47.599999999999994
80,0.6929745546663687,50.6,0.6932150096113872,47.599999999999994
90,0.692948231848695,50.6,0.6932110835884133,47.599999999999994
100,0.6929216332364574,50.6,0.6932057081843134,47.599999999999994
110,0.6928945874981769,50.6,0.6931987846862225,47.599999999999994
120,0.6928669761240791,50.6,0.6931902921251657,47.599999999999994
130,0.6928387342385245,50.6,0.6931801882986026,47.599999999999994
140,0.6928097816597978,50.6,0.6931684414567628,47.599999999999994
150,0.6927800158409236,50.6,0.6931549841159306,47.599999999999994
160,0.6927492684795551,50.6,0.6931397095270634,47.599999999999994
170,0.6927174065824938,50.6,0.6931225334849723,47.599999999999994
180,0.6926843046092794,50.6,0.6931033240329889,47.599999999999994
190,0.6926498407788422,50.6,0.693082001775567,47.599999999999994
200,0.6926138794961368,50.6,0.6930584527213357,47.599999999999994
210,0.692576208339793,50.6,0.6930325377712729,47.599999999999994
220,0.6925366887982904,50.6,0.6930041189029765,47.599999999999994
230,0.6924951527894182,50.6,0.6929730540777167,47.599999999999994
240,0.6924514596232378,50.6,0.6929392172446215,47.599999999999994
250,0.6924053835174306,50.6,0.6929024233149694,47.599999999999994
260,0.692356722109307,50.6,0.6928625077177208,47.599999999999994
270,0.6923052746818426,50.6,0.6928192944808477,47.599999999999994
280,0.6922508565714205,50.6,0.6927724993309614,47.599999999999994
290,0.6921933277169583,50.6,0.6927220455045274,47.599999999999994
300,0.6921323485505291,50.6,0.6926676953096107,47.599999999999994
310,0.6920677217270838,50.6,0.6926092364420174,47.599999999999994
320,0.6919992303100246,50.6,0.692546411794632,47.599999999999994
330,0.6919265988486983,50.6,0.692478949649684,47.599999999999994
340,0.6918495835962648,50.6,0.6924066753688191,47.599999999999994
350,0.6917679832553096,50.6,0.692329308094475,47.599999999999994
360,0.6916815501634487,50.6,0.6922466518045474,47.599999999999994
370,0.6915899481652255,50.6,0.6921583608830101,47.599999999999994
380,0.6914928351730746,50.6,0.692064204105207,47.599999999999994
390,0.691389956720174,50.6,0.6919637890940836,47.599999999999994
400,0.6912809454199704,50.6,0.691856700079111,47.599999999999994
410,0.6911653537306509,50.6,0.6917425894313624,47.599999999999994
420,0.691042828509455,50.6,0.6916210831926964,47.599999999999994
430,0.6909129384254448,50.6,0.6914917010035179,47.599999999999994
440,0.6907753071151107,50.6,0.6913540524477841,47.599999999999994
450,0.6906294569729996,50.6,0.6912077306332645,47.599999999999994
460,0.6904749559728907,50.6,0.6910522546876269,47.599999999999994
470,0.6903111632270529,50.6,0.6908869788834786,47.599999999999994
480,0.6901374958918199,50.6,0.6907113613611557,47.599999999999994
490,0.6899533858924817,50.6,0.6905247875484876,47.599999999999994
500,0.6897581122682195,50.6,0.6903265245995431,47.599999999999994
510,0.6895509714674004,50.6,0.690115895623448,47.599999999999994
520,0.6893312815398805,50.6,0.6898921767384614,47.599999999999994
530,0.6890982580344799,50.6,0.6896545795107776,47.599999999999994
540,0.6888510446986861,50.6,0.6894022470319251,47.599999999999994
550,0.6885888490049878,50.6,0.6891342939507124,47.599999999999994
560,0.6883107105158319,50.6,0.6888497578379327,47.599999999999994
570,0.6880156134407202,50.6,0.6885475788692824,47.599999999999994
580,0.6877025562128966,50.6,0.6882267444266021,47.599999999999994
590,0.6873704455493337,50.6,0.6878861318048946,47.599999999999994
600,0.6870181802106745,50.6,0.6875245585449327,47.599999999999994
610,0.6866445537291695,50.6,0.6871407762378482,47.599999999999994
620,0.6862483541245425,50.6,0.686733577764604,47.599999999999994
630,0.6858282013778108,50.6,0.6863014885085983,47.599999999999994
640,0.6853826900211473,50.6,0.6858431101191197,47.599999999999994
650,0.684910342693608,50.875,0.6853569016833435,48.3
660,0.6844096023225643,53.900000000000006,0.6848412503149415,53.1
670,0.6838788288027895,59.675,0.6842944845675523,60.9
680,0.6833162985828101,65.55,0.6837147942760642,67.0
690,0.6827201866768118,70.025,0.683100319757535,70.19999999999999
700,0.6820886334968348,73.45,0.682449034905514,74.3
710,0.6814196100046719,76.55,0.6817588942024038,76.3
720,0.6807110219828912,78.45,0.6810277297743298,78.10000000000001
730,0.6799607330757738,79.57499999999999,0.6802533240308563,78.9
740,0.6791665111637626,80.525,0.6794333176548636,79.60000000000001
750,0.6783259954101802,81.0,0.6785652575428445,80.10000000000001
760,0.6774366819905346,81.27499999999999,0.6776465755526094,80.7
770,0.6764960046992832,81.75,0.6766746313766373,80.80000000000001
780,0.6755012375213754,82.0,0.6756465818338184,81.10000000000001
790,0.6744496525127918,82.425,0.6745595602179322,81.6
800,0.6733383593040524,82.39999999999999,0.6734106305054022,82.0
810,0.6721644359746672,82.55,0.6721966884680812,81.89999999999999
